name,category,price,description,is_vegetarian,is_spicy,preparation_time
Choila Pizza (Medium),Pizza,650,Spiced meat pizza,false,true,35
Veg Steam Momo,Momo,130,Steamed vegetable dumplings,true,false,20
Veg Fried Momo,Momo,170,Fried vegetable dumplings,true,false,25
Veg Chilly Momo,Momo,200,Spicy vegetable dumplings,true,true,25
Veg Jhol Momo,Momo,170,Vegetable dumplings in soup,true,false,25
Veg Kothe Momo,Momo,200,Pan-fried vegetable dumplings,true,false,25
Veg Choila Momo,Momo,220,Spiced vegetable dumplings,true,true,25
Veg Crunchy Momo,Momo,250,Crunchy vegetable dumplings,true,false,30
Veg Sandheko Momo,Momo,200,Spiced mixed vegetable dumplings,true,true,25
Veg Jhaneko Momo,Momo,300,Special vegetable dumplings,true,false,30
Buff Steam Momo,Momo,140,Steamed buffalo dumplings,false,false,20
Buff Fried Momo,Momo,190,Fried buffalo dumplings,false,false,25
Buff Chilly Momo,Momo,200,Spicy buffalo dumplings,false,true,25
Buff Jhol Momo,Momo,170,Buffalo dumplings in soup,false,false,25
Buff Kothe Momo,Momo,200,Pan-fried buffalo dumplings,false,false,25
Buff Choila Momo,Momo,220,Spiced buffalo dumplings,false,true,25
Buff Crunchy Momo,Momo,250,Crunchy buffalo dumplings,false,false,30
Buff Sandheko Momo,Momo,200,Spiced mixed buffalo dumplings,false,true,25
Buff Jhaneko Momo,Momo,300,Special buffalo dumplings,false,false,30
Chicken Steam Momo,Momo,160,Steamed chicken dumplings,false,false,20
Chicken Fried Momo,Momo,210,Fried chicken dumplings,false,false,25
Chicken Chilly Momo,Momo,220,Spicy chicken dumplings,false,true,25
Chicken Jhol Momo,Momo,190,Chicken dumplings in soup,false,false,25
Chicken Kothe Momo,Momo,220,Pan-fried chicken dumplings,false,false,25
Chicken Choila Momo,Momo,220,Spiced chicken dumplings,false,true,25
Chicken Crunchy Momo,Momo,250,Crunchy chicken dumplings,false,false,30
Chicken Sandheko Momo,Momo,200,Spiced mixed chicken dumplings,false,true,25
Chicken Jhaneko Momo,Momo,300,Special chicken dumplings,false,false,30
Pork Steam Momo,Momo,250,Steamed pork dumplings,false,false,25
Pork Fried Momo,Momo,300,Fried pork dumplings,false,false,30
Pork Chilly Momo,Momo,300,Spicy pork dumplings,false,true,30
Pork Jhol Momo,Momo,300,Pork dumplings in soup,false,false,30
Pork Kothe Momo,Momo,300,Pan-fried pork dumplings,false,false,30
Pork Choila Momo,Momo,300,Spiced pork dumplings,false,true,30
Pork Crunchy Momo,Momo,300,Crunchy pork dumplings,false,false,35
Pork Sandheko Momo,Momo,300,Spiced mixed pork dumplings,false,true,30
Pork Jhaneko Momo,Momo,300,Special pork dumplings,false,false,35
Buff Momo Combo Set,Momo,499,Buffalo momo variety set,false,false,40
Chicken Momo Combo Set,Momo,599,Chicken momo variety set,false,false,40
Veg Chowmein,Chowmein,110,Vegetable stir-fried noodles,true,false,20
Buff Chowmein,Chowmein,150,Buffalo stir-fried noodles,false,false,25
Chicken Chowmein,Chowmein,150,Chicken stir-fried noodles,false,false,25
Egg Chowmein,Chowmein,150,Egg stir-fried noodles,false,false,20
Mix Chowmein,Chowmein,200,Mixed meat stir-fried noodles,false,false,30
Veg Keema Noodles (Half),Keema Noodles,100,Vegetable minced noodles,true,false,20
Veg Keema Noodles (Full),Keema Noodles,150,Vegetable minced noodles,true,false,25
Buff Keema Noodles (Half),Keema Noodles,140,Buffalo minced noodles,false,false,20
Buff Keema Noodles (Full),Keema Noodles,200,Buffalo minced noodles,false,false,25
Chicken Keema Noodles (Half),Keema Noodles,140,Chicken minced noodles,false,false,20
Chicken Keema Noodles (Full),Keema Noodles,200,Chicken minced noodles,false,false,25
Food Zone Special Keema Noodles,Keema Noodles,250,Special mixed keema noodles,false,false,30
Chow Chow,Laphing,80,Spicy cold noodles,true,true,15
Chow Chow & Peanuts,Laphing,90,Cold noodles with peanuts,true,true,15
Chips Chow Chow & Peanuts,Laphing,120,Cold noodles with chips and peanuts,true,true,15
Veg Kathi Roll,Kathi Roll,150,Vegetable wrap,true,false,20
Egg Kathi Roll,Kathi Roll,170,Egg wrap,false,false,20
Chicken Kathi Roll,Kathi Roll,180,Chicken wrap,false,false,25
Paneer Kathi Roll,Kathi Roll,220,Cottage cheese wrap,true,false,25
Chicken Cheese Kathi Roll,Kathi Roll,250,Chicken wrap with cheese,false,false,25
Paneer Cheese Kathi Roll,Kathi Roll,280,Paneer wrap with cheese,true,false,25
Veg Thukpa,Thukpa,150,Vegetable noodle soup,true,false,25
Buff Thukpa,Thukpa,180,Buffalo noodle soup,false,false,30
Egg Thukpa,Thukpa,180,Egg noodle soup,false,false,25
Chicken Thukpa,Thukpa,180,Chicken noodle soup,false,false,30
Mix Thukpa,Thukpa,250,Mixed meat noodle soup,false,false,35
Veg Soup,Soup,150,Vegetable soup,true,false,20
Chicken Soup,Soup,180,Chicken soup,false,false,25
Mushroom Soup,Soup,180,Mushroom soup,true,false,25
Mix Soup,Soup,200,Mixed soup,false,false,30
Veg Biryani (Small),Biryani,300,Aromatic vegetable rice,true,false,35
Veg Biryani (Medium),Biryani,550,Aromatic vegetable rice,true,false,40
Veg Biryani (Large),Biryani,1000,Aromatic vegetable rice,true,false,50
Chicken Biryani (Small),Biryani,400,Aromatic chicken rice,false,false,40
Chicken Biryani (Medium),Biryani,600,Aromatic chicken rice,false,false,45
Chicken Biryani (Large),Biryani,1500,Aromatic chicken rice,false,false,60
Mutton Biryani (Small),Biryani,480,Aromatic mutton rice,false,false,45
Mutton Biryani (Medium),Biryani,700,Aromatic mutton rice,false,false,50
Mutton Biryani (Large),Biryani,1600,Aromatic mutton rice,false,false,70
Veg Khana Set,Khana Set,300,Complete vegetarian meal set,true,false,35
Buff Khana Set,Khana Set,380,Complete buffalo meal set,false,false,40
Chicken Khana Set,Khana Set,380,Complete chicken meal set,false,false,40
Mutton Khana Set,Khana Set,500,Complete mutton meal set,false,false,45
Veg Khaja Set,Khaja Set,280,Vegetarian beaten rice set,true,false,30
Buff Khaja Set,Khaja Set,300,Buffalo beaten rice set,false,false,35
Chicken Khaja Set,Khaja Set,300,Chicken beaten rice set,false,false,35
Pork Khaja Set,Khaja Set,400,Pork beaten rice set,false,false,40
Mutton Khaja Set,Khaja Set,450,Mutton beaten rice set,false,false,45
Aloo Chop (4 pcs),Food Zone Special,190,Potato cutlets,true,false,20
Wai Wai Sukuti Sandheko,Food Zone Special,200,Spiced dried meat with noodles,false,true,20
Meatball,Food Zone Special,250,Meat balls,false,false,25
Egg Pakoda,Food Zone Special,250,Egg fritters,false,false,20
Veg Manchurian,Food Zone Special,280,Vegetable manchurian,true,false,25
Fish Finger (8 pcs),Food Zone Special,280,Breaded fish fingers,false,false,25
Chicken Popcorn,Food Zone Special,280,Bite-sized chicken,false,false,20
Chicken Manchurian,Food Zone Special,300,Chicken manchurian,false,false,30
Chicken 65,Food Zone Special,300,Spicy fried chicken,false,true,25
Fish & Chips,Food Zone Special,350,Fish with french fries,false,false,30
Crunchy Chicken,Food Zone Special,350,Crispy fried chicken,false,false,30
Dragon Chicken,Food Zone Special,350,Spicy dragon chicken,false,true,30
Kurkure Chicken,Food Zone Special,350,Crispy coated chicken,false,false,30
Peri Peri Chicken,Food Zone Special,380,Spicy peri peri chicken,false,true,30
Chicken Sizzler,Food Zone Special,400,Sizzling chicken platter,false,false,35
Veg Chopsuey,Chopsuey,270,Vegetable chopsuey,true,false,30
Chicken Chopsuey,Chopsuey,300,Chicken chopsuey,false,false,35
Buff Chopsuey,Chopsuey,300,Buffalo chopsuey,false,false,35
Mix Chopsuey,Chopsuey,350,Mixed meat chopsuey,false,false,40
